高校名称,专业,x轴,y轴,
中国科学技术大学,印刷、涂料、照相,35,2.000 
中国科学技术大学,石油,29,2.000 
中国科学技术大学,化学工程,285,2.000 
中国科学技术大学,核子能、爆破、防护,55,2.000 
中国科学技术大学,耐火材料、玻璃、陶瓷、（无机）有机电化学,221,4.417 
中国科学技术大学,冶金,67,2.000 
中国科学技术大学,催化剂,137,2.000 
中国科学技术大学,其他,379,2.000 
中国科学技术大学,机械工程,260,2.000 
中国科学技术大学,仪器、测量和测试,740,4.261 
中国科学技术大学,计算机和控制,886,4.324 
中国科学技术大学,半导体和电路,258,2.000 
中国科学技术大学,电子元件,345,3.910 
中国科学技术大学,通讯,581,4.268 
中国科学技术大学,电力工程,316,2.000 
复旦大学,聚合物、塑料,958,4.009 
复旦大学,药物,1484,2.833 
复旦大学,农药,113,2.000 
复旦大学,食品、洗涤剂、水处理、生物技术,963,2.908 
复旦大学,一般化学,404,2.000 
复旦大学,纺织和造纸,72,2.000 
复旦大学,印刷、涂料、照相,71,2.000 
复旦大学,石油,21,2.000 
复旦大学,化学工程,380,2.923 
复旦大学,核子能、爆破、防护,5,2.000 
复旦大学,耐火材料、玻璃、陶瓷、（无机）有机电化学,484,3.636 
复旦大学,冶金,47,2.000 
复旦大学,催化剂,144,2.000 
复旦大学,其他,1113,2.000 
复旦大学,机械工程,198,2.000 
复旦大学,仪器、测量和测试,1037,2.956 
复旦大学,计算机和控制,920,3.775 
复旦大学,半导体和电路,543,3.094 
复旦大学,电子元件,275,2.645 
复旦大学,通讯,360,3.699 
复旦大学,电力工程,438,3.575 
哈尔滨工业大学,聚合物、塑料,1883,4.629 
哈尔滨工业大学,药物,348,2.000 
哈尔滨工业大学,农药,44,2.000 
哈尔滨工业大学,食品、洗涤剂、水处理、生物技术,1022,4.853 
哈尔滨工业大学,一般化学,754,4.876 
哈尔滨工业大学,纺织和造纸,171,2.000 
哈尔滨工业大学,印刷、涂料、照相,164,2.000 
哈尔滨工业大学,石油,132,2.000 
哈尔滨工业大学,化学工程,520,2.000 
哈尔滨工业大学,核子能、爆破、防护,25,2.000 
哈尔滨工业大学,耐火材料、玻璃、陶瓷、（无机）有机电化学,1100,5.022 
哈尔滨工业大学,冶金,977,4.271 
哈尔滨工业大学,催化剂,123,2.000 
哈尔滨工业大学,其他,1721,2.000 
哈尔滨工业大学,机械工程,1523,4.828 
哈尔滨工业大学,仪器、测量和测试,2585,4.064 
哈尔滨工业大学,计算机和控制,3347,4.377 
哈尔滨工业大学,半导体和电路,883,4.312 
哈尔滨工业大学,电子元件,1493,3.481 
哈尔滨工业大学,通讯,1892,5.282 
哈尔滨工业大学,电力工程,2250,4.630 
西安交通大学,聚合物、塑料,1090,4.085 
西安交通大学,药物,575,4.427 
西安交通大学,农药,21,2.824 
西安交通大学,食品、洗涤剂、水处理、生物技术,554,3.727 
西安交通大学,一般化学,290,3.861 
西安交通大学,纺织和造纸,40,2.000 
西安交通大学,印刷、涂料、照相,57,2.000 
西安交通大学,石油,92,3.190 
西安交通大学,化学工程,457,3.878 
西安交通大学,核子能、爆破、防护,73,2.000 
西安交通大学,耐火材料、玻璃、陶瓷、（无机）有机电化学,536,4.132 
西安交通大学,冶金,593,2.000 
西安交通大学,催化剂,62,2.000 
西安交通大学,其他,1956,5.164 
西安交通大学,机械工程,1415,2.000 
西安交通大学,仪器、测量和测试,2627,5.323 
西安交通大学,计算机和控制,2598,5.079 
西安交通大学,半导体和电路,708,2.000 
西安交通大学,电子元件,887,4.497 
西安交通大学,通讯,902,4.307 
西安交通大学,电力工程,1935,4.692 
天津大学,聚合物、塑料,1981,4.435 
天津大学,药物,730,2.945 
天津大学,农药,113,2.000 
天津大学,食品、洗涤剂、水处理、生物技术,1221,3.109 
天津大学,一般化学,1185,2.000 
天津大学,纺织和造纸,88,2.000 
天津大学,印刷、涂料、照相,153,4.086 
天津大学,石油,313,3.806 
天津大学,化学工程,1096,4.172 
天津大学,核子能、爆破、防护,23,2.000 
天津大学,耐火材料、玻璃、陶瓷、（无机）有机电化学,882,4.528 
天津大学,冶金,495,2.000 
天津大学,催化剂,310,2.000 
天津大学,其他,1364,2.000 
